"Term","Estimate","CI_low","CI_high","t_value","SE","p_value"
"(Intercept)",19.634,11.26,28.007,4.654,4.219,1.03e-05
"GroupPWA",-8.258,-10.033,-6.484,-9.238,0.894,5.92e-15
"avg_length",0.478,-1.342,2.298,0.521,0.917,0.603
