Subject,Entry,Phoneme Count
SNYRG573J,birds,4
SNYRG573J,crocodile,8
SJDVP34TZ,cat,3
SJDVP34TZ,dog,3
SJDVP34TZ,horse,4
SJDVP34TZ,cow,2
SJDVP34TZ,bull,3
SJDVP34TZ,beaver,4
SJDVP34TZ,buffalo,6
SJDVP34TZ,lion,4
SJDVP34TZ,bear,3
SJDVP34TZ,tiger,4
SJDVP34TZ,panther,5
SJDVP34TZ,chimpanzee,8
SJDVP34TZ,fox,4
SJDVP34TZ,wolf,4
SJDVP34TZ,elephant,7
SJDVP34TZ,fish,3
S4DYPS3MG,dog,3
S4DYPS3MG,cat,3
S4DYPS3MG,bird,3
S4DYPS3MG,lion,4
S4DYPS3MG,tiger,4
S4DYPS3MG,mouse,3
S4DYPS3MG,monkey,5
S4DYPS3MG,parrot,5
S4DYPS3MG,turkey,4
S4DYPS3MG,chicken,5
S4DYPS3MG,cow,2
S4DYPS3MG,squirrel,6
S4DYPS3MG,bug,3
SH15XG6FG,bear,3
SH15XG6FG,lion,4
SH15XG6FG,moose,3
SH15XG6FG,elephant,7
SH15XG6FG,giraffe,4
SH15XG6FG,tiger,4
SH15XG6FG,goat,3
SH15XG6FG,zebra,5
SH15XG6FG,pig,3
SH15XG6FG,horse,4
SH15XG6FG,chicken,5
SH15XG6FG,dog,3
SH15XG6FG,cat,3
SVNKWKOHP,cat,3
SVNKWKOHP,dog,3
SVNKWKOHP,rat,3
SVNKWKOHP,mouse,3
SVNKWKOHP,tiger,4
SVNKWKOHP,lion,4
SVNKWKOHP,bear,3
SVNKWKOHP,giraffe,4
SVNKWKOHP,hippo,4
SVNKWKOHP,owl,2
SVNKWKOHP,snake,4
SVNKWKOHP,cheetah,4
SVNKWKOHP,monkey,5
SVNKWKOHP,gorilla,5
SVNKWKOHP,aardvark,7
SVNKWKOHP,penguin,7
SZIBBVPSW,aardvark,7
SZIBBVPSW,dog,3
SZIBBVPSW,cat,3
SZIBBVPSW,goat,3
SZIBBVPSW,sheep,3
SZIBBVPSW,duck,3
SZIBBVPSW,cows,3
SZIBBVPSW,frog,4
SZIBBVPSW,chimpanzee,8
SZIBBVPSW,moose,3
SZIBBVPSW,wolf,4
SZIBBVPSW,kangaroo,6
SKY2MDSFC,cat,3
SKY2MDSFC,dog,3
SKY2MDSFC,spider,5
SKY2MDSFC,rabbit,5
SKY2MDSFC,tiger,4
SKY2MDSFC,elephant,7
SKY2MDSFC,monkey,5
SKY2MDSFC,hippopotamus,11
SKY2MDSFC,crocodile,8
SKY2MDSFC,giraffe,4
SXXD9UCEG,cat,3
SXXD9UCEG,dogs,4
SXXD9UCEG,cow,2
SXXD9UCEG,lion,4
SXXD9UCEG,giraffe,4
SXXD9UCEG,leopard,5
SXXD9UCEG,ape,2
SXXD9UCEG,fish,3
SXXD9UCEG,goat,3
SXXD9UCEG,elephant,7
S6U1P1F6J,dog,3
S6U1P1F6J,cat,3
S6U1P1F6J,horse,4
S6U1P1F6J,pig,3
S6U1P1F6J,cow,2
S6U1P1F6J,zebra,5
S6U1P1F6J,lion,4
S6U1P1F6J,tiger,4
S6U1P1F6J,elephant,7
S6U1P1F6J,rhino,4
S6U1P1F6J,giraffe,4
S6U1P1F6J,buffalo,6
S6U1P1F6J,hippo,4
S6U1P1F6J,croc,4
S67349J8X,cat,3
S67349J8X,dog,3
S67349J8X,mouse,3
S67349J8X,snake,4
S67349J8X,frog,4
S67349J8X,possum,5
S67349J8X,gator,4
S67349J8X,fox,4
S67349J8X,lion,4
S67349J8X,giraffe,4
S67349J8X,elephant,7
S67349J8X,tiger,4
S6TIOP7EA,elephant,7
S6TIOP7EA,bear,3
S6TIOP7EA,tiger,4
S6TIOP7EA,lion,4
S6TIOP7EA,zebra,5
S6TIOP7EA,bull,3
S6TIOP7EA,cat,3
S6TIOP7EA,aardvark,7
S6TIOP7EA,beagle,5
S6TIOP7EA,tiger,4
SBQ0YTZJ7,bird,3
SBQ0YTZJ7,dog,3
