"Term","Estimate","CI_low","CI_high","t_value","SE","p_value"
"(Intercept)",-0.052,-1.894,1.79,-0.056,0.928,0.956
"GroupPWA",0.116,-0.855,1.088,0.238,0.49,0.813
"fluency_score",0.313,0.231,0.394,7.637,0.041,1.57e-11
