"Term","Estimate","CI_low","CI_high","t_value","SE","p_value"
"(Intercept)",-39.641,-85.867,6.585,-1.757,22.567,0.0899
"TCorrPNT",0.176,-0.068,0.419,1.479,0.119,0.15
"semantic_output",31.256,-28.405,90.917,1.073,29.126,0.292
"phon_output",47.287,7.596,86.978,2.44,19.376,0.0213
"prt",0.189,-0.203,0.581,0.99,0.191,0.331
"syntot.",0.079,-0.106,0.264,0.873,0.09,0.39
"camcac.",0.072,-0.151,0.294,0.661,0.109,0.514
"nonwdrep..",0.046,-0.025,0.116,1.324,0.034,0.196
"avg_length",0.043,-2.569,2.655,0.034,1.275,0.973
