"word","In."
"water cooler","OSC"
"wet floor sign","OSC"
"white glue","OSC"
"window cleaner","OSC"
"wireless router","OSC"
"workbook","TEFL"
"worksheet","TEFL"
"wrapping paper","OSC"
"yarn","TEFL"
"children","S"
"chalkboard","S"
"artwork","S"
"name tag","S"
"board","S"
"picture","S"
"window","S"
"ceiling","S"
"dry eraser","S"
"smart board","S"
"folder","S"
"pledge of allegiance","S"
"gold star","S"
"glue stick","S"
"white out","S"
"signs","S"
"coat rack","S"
"class pet","S"
"digital board","S"
"learning","S"
"divider","S"
"lined paper","S"
"tv","S"
"trash","S"
"corkboard","S"
"diagram","S"
"lessons","S"
"reports","S"
"experiment","S"
"teleprompter","S"
"powerpoint","S"
"lights","S"
"math","S"
"laptop","S"
"bell","S"
"journal","S"
"tiled floors","S"
"podium","S"
"trash bin","S"
"dunce hat","S"
"cup","S"
"games","S"
"letters","S"
"numbers","S"
"water","S"
"television","S"
"plants","S"
"wall chart","S"
"floor","S"
"shoes","S"
"gerbil","S"
"aquarium","S"
"dust cleaner","S"
"times table","S"
"professor","S"
"laptop charger","S"
"lighting","S"
"jacket","S"
"marker board","S"
"expo marker","S"
"desk chair","S"
"knowledge","S"
"bags","S"
"pupils","S"
"schoolbag","S"
"specimens","S"
"fruit","S"
"art supplies","S"
"musical instruments","S"
"crafts","S"
"magic erase markers","S"
"graphs","S"
"skeleton","S"
"kleenex","S"
"thoughts","S"
"words","S"
"clothing","S"
"drawings","S"
"intercom","S"
"chromebook","S"
"macbook","S"
"pc","S"
"schedule","S"
"overhead projector","S"
"three ring binder","S"
"abcs","S"
"math books","S"
"seats","S"
"basket","S"
"projecting computer","S"
"math stuff","S"
"spitball","S"
"gum","S"
"portraits","S"
"instructor","S"
"student work","S"
"garbage","S"
"sink","S"
"brushes","S"
"shapes","S"
"study materials","S"
"trapper keeper","S"
"boy","S"
"girl","S"
"drink","S"
"hall pass","S"
"bathroom pass","S"
"reading books","S"
"locks","S"
"answer sheet","S"
"class","S"
"sticky note","S"
"pointer","S"
"apples","S"
"videos","S"
"furniture","S"
"caddies","S"
"mats","S"
"fire alarm","S"
"clips","S"
"banner","S"
"meter stick","S"
"wall","S"
"brick wall","S"
"light switch","S"
"closet","S"
"lunch sacks","S"
"periodic table","S"
"beakers","S"
"timer","S"
"equations","S"
"couch","S"
"models","S"
"animals","S"
"student teacher","S"
"aid","S"
"dcor","S"
"files","S"
"information","S"
"ideas","S"
"outlets","S"
"curiosity","S"
"drawers","S"
"soap","S"
"power cord","S"
"mug","S"
"board game","S"
"exam","S"
"history","S"
"reading","S"
"tools","S"
"candy","S"
"treats","S"
"supplies","S"
"bathroom","S"
"tiles","S"
"american flag","S"
"education","S"
"whiteboard markers","S"
"beanbag","S"
"desktop ","S"
"prizes","S"
"flowers","S"
"cart","S"
"educator","S"
"vents","S"
"exercise book","S"
"office supplies","S"
"bench","S"
"displays","S"
"fish","S"
"page","S"
"uniform","S"
"novel","S"
"blinds","S"
"tissues","S"
"science equipment","S"
"storage shelves","S"
"hanger","S"
"shelf","S"
"lockers or storage","S"
"math sheets","S"
"stationary","S"
"aed kit","S"
"animal tank","S"
"noise","S"
"technology","S"
"teens","S"
"paper tray","S"
"trackers","S"
"student id","S"
"thinking cap","S"
"paste","S"
"waterpen","S"
"letterboard","S"
"whiteboard eraser","S"
"playmat","S"
"curtains","S"
"napkins","S"
"wall art","S"
"friends","S"
"painting","S"
"classmates","S"
"post it notes","S"
"workspaces","S"
"writing instruments","S"
"hamster","S"
"water fountain","S"
"sanitizer","S"
"class projects","S"
"wallpaper","S"
"quiz","S"
"garbage can","S"
"ribbon","S"
"area rug","S"
"yardstick","S"
"unifix cubes","S"
"pattern blocks","S"
"sight words","S"
"word wall","S"
"class clown","S"
"teachers pet","S"
"bible","S"
"essays","S"
"bulb","S"
"juice","S"
"set","S"
"mathematical set","S"
"agendas","S"
"projects","S"
"tote trays","S"
"terrarium","S"
"kleenex box","S"
"coat","S"
"slides","S"
"questions","S"
"coat room","S"
"germx","S"
"inquiring minds","S"
"movies","S"
"craft paper","S"
"lab equipment","S"
"petri dish","S"
"pa system","S"
"wisdom","S"
"hat","S"
"mat","S"
"counter","S"
"college students","S"
"adult","S"
"politics","S"
"classwork","S"
"spelling test","S"
"graded paperwork","S"
"charger","S"
"safety goggles","S"
"red pen","S"
"blue pen","S"
"black pen","S"
"green pen","S"
"fun","S"
"learners","S"
"dirt","S"
"accident","S"
"lesson plan","S"
"report card","S"
"ink","S"
"ball","S"
"school supplies","S"
"container","S"
"sleeping mat","S"
"assistant teacher","S"
"quotes","S"
"video system","S"
"electronics","S"
"library","S"
"drapes","S"
"microphone","S"
"remote","S"
"light fixture","S"
"lead","S"
"scratch paper","S"
"schoolbook","S"
"computer mouse","S"
"fluorescent light","S"
"reference book","S"
"magnifier","S"
"encyclopedia","S"
"wooden floors","S"
"table of elements","S"
"literature","S"
"exhibit","S"
"presentations","S"
"music","S"
"cleaning supplies","S"
"math tables","S"
"drinking fountain","S"
"frustration","S"
"yawn","S"
"grades","S"
